fixed metal distribution -- based on Asplund, Grevesse, Sauval, and Scott (2009) solar abundances
    form     version        X           Z          logRs    logR_min    logR_max       logTs    logT_min    logT_max
       1          38    0.700000    0.020000          37   -8.000000    1.000000         138    3.750000    8.700000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   4.550  -0.409  -0.402  -0.393  -0.383  -0.370  -0.351  -0.325  -0.290  -0.244  -0.184  -0.112  -0.024   0.078   0.195   0.328   0.480   0.649   0.838   1.044   1.267   1.504   1.752   2.010   2.273   2.541   2.813   3.086   3.360   3.631   3.896   4.151   4.392   4.617   4.822   5.008   5.171   5.312
   4.575  -0.409  -0.402  -0.392  -0.383  -0.369  -0.351  -0.326  -0.291  -0.244  -0.183  -0.107  -0.015   0.095   0.222   0.366   0.526   0.703   0.895   1.102   1.324   1.558   1.802   2.054   2.314   2.579   2.848   3.120   3.393   3.664   3.929   4.185   4.426   4.652   4.857   5.043   5.205   5.345
   4.600  -0.409  -0.401  -0.392  -0.382  -0.370  -0.352  -0.327  -0.293  -0.247  -0.185  -0.107  -0.010   0.105   0.241   0.395   0.565   0.751   0.949   1.160   1.381   1.612   1.853   2.101   2.355   2.616   2.881   3.150   3.421   3.691   3.955   4.210   4.451   4.675   4.880   5.064   5.225   5.363
   4.625  -0.408  -0.401  -0.392  -0.383  -0.370  -0.353  -0.329  -0.296  -0.250  -0.189  -0.111  -0.012   0.107   0.249   0.409   0.588   0.782   0.988   1.205   1.430   1.662   1.901   2.145   2.395   2.651   2.911   3.176   3.444   3.710   3.972   4.224   4.463   4.685   4.888   5.070   5.229   5.365
   4.650  -0.407  -0.400  -0.392  -0.383  -0.370  -0.354  -0.331  -0.299  -0.254  -0.195  -0.117  -0.018   0.102   0.247   0.412   0.598   0.799   1.013   1.236   1.466   1.701   1.940   2.183   2.430   2.681   2.937   3.196   3.459   3.721   3.978   4.227   4.462   4.682   4.882   5.062   5.218   5.351
   4.675  -0.406  -0.399  -0.390  -0.381  -0.369  -0.354  -0.332  -0.301  -0.259  -0.202  -0.126  -0.028   0.092   0.236   0.404   0.592   0.798   1.018   1.247   1.483   1.723   1.965   2.209   2.455   2.703   2.955   3.209   3.466   3.722   3.974   4.218   4.449   4.664   4.862   5.039   5.195   5.326
   4.700  -0.405  -0.397  -0.388  -0.379  -0.367  -0.353  -0.332  -0.304  -0.264  -0.209  -0.136  -0.041   0.077   0.221   0.387   0.576   0.784   1.007   1.242   1.483   1.728   1.974   2.221   2.467   2.714   2.963   3.213   3.465   3.715   3.960   4.198   4.425   4.637   4.831   5.006   5.158   5.288
   4.725  -0.404  -0.395  -0.386  -0.377  -0.365  -0.351  -0.331  -0.305  -0.267  -0.215  -0.145  -0.052   0.062   0.203   0.366   0.554   0.760   0.983   1.218   1.462   1.711   1.961   2.212   2.461   2.710   2.958   3.206   3.453   3.698   3.938   4.170   4.392   4.600   4.792   4.965   5.118   5.247
   4.750  -0.405  -0.395  -0.385  -0.375  -0.364  -0.350  -0.330  -0.305  -0.269  -0.220  -0.152  -0.064   0.048   0.184   0.344   0.528   0.731   0.952   1.186   1.429   1.680   1.933   2.188   2.441   2.693   2.943   3.189   3.434   3.674   3.909   4.137   4.354   4.559   4.748   4.920   5.070   5.199
   4.775  -0.405  -0.395  -0.385  -0.375  -0.363  -0.349  -0.330  -0.306  -0.271  -0.223  -0.159  -0.073   0.035   0.168   0.324   0.504   0.703   0.920   1.150   1.392   1.641   1.895   2.152   2.408   2.663   2.915   3.163   3.407   3.645   3.877   4.101   4.315   4.517   4.704   4.874   5.023   5.152
   4.800  -0.405  -0.396  -0.386  -0.376  -0.364  -0.349  -0.330  -0.306  -0.272  -0.226  -0.163  -0.081   0.024   0.153   0.305   0.480   0.676   0.888   1.114   1.352   1.599   1.852   2.109   2.368   2.626   2.881   3.131   3.375   3.613   3.843   4.064   4.276   4.476   4.661   4.829   4.976   5.104
   4.825  -0.405  -0.396  -0.386  -0.376  -0.364  -0.350  -0.331  -0.306  -0.272  -0.227  -0.166  -0.086   0.015   0.141   0.289   0.460   0.651   0.858   1.080   1.314   1.558   1.810   2.067   2.327   2.587   2.844   3.096   3.342   3.580   3.810   4.030   4.241   4.438   4.622   4.788   4.933   5.059
   4.850  -0.403  -0.395  -0.386  -0.376  -0.364  -0.349  -0.330  -0.305  -0.271  -0.227  -0.168  -0.089   0.009   0.132   0.276   0.443   0.629   0.832   1.050   1.280   1.521   1.771   2.026   2.286   2.548   2.806   3.061   3.308   3.548   3.779   3.999   4.209   4.405   4.587   4.751   4.894   5.017
   4.875  -0.400  -0.392  -0.383  -0.374  -0.362  -0.347  -0.327  -0.303  -0.270  -0.226  -0.168  -0.091   0.005   0.125   0.266   0.430   0.612   0.812   1.026   1.253   1.491   1.739   1.993   2.252   2.513   2.773   3.029   3.278   3.519   3.751   3.973   4.182   4.378   4.557   4.719   4.858   4.977
   4.900  -0.394  -0.387  -0.378  -0.368  -0.357  -0.342  -0.323  -0.299  -0.266  -0.224  -0.167  -0.092   0.003   0.120   0.259   0.420   0.599   0.796   1.008   1.232   1.468   1.713   1.966   2.224   2.484   2.743   3.000   3.251   3.494   3.728   3.950   4.160   4.354   4.532   4.690   4.826   4.941
   4.925  -0.384  -0.378  -0.370  -0.361  -0.349  -0.335  -0.317  -0.293  -0.261  -0.219  -0.164  -0.090   0.002   0.117   0.253   0.412   0.590   0.785   0.995   1.217   1.451   1.694   1.945   2.201   2.461   2.720   2.977   3.229   3.474   3.709   3.932   4.142   4.335   4.510   4.665   4.796   4.905
   4.950  -0.369  -0.364  -0.356  -0.348  -0.338  -0.324  -0.306  -0.283  -0.252  -0.211  -0.157  -0.086   0.004   0.117   0.251   0.409   0.585   0.779   0.987   1.208   1.440   1.681   1.931   2.186   2.444   2.703   2.960   3.212   3.457   3.694   3.918   4.127   4.318   4.490   4.641   4.767   4.870
   4.975  -0.347  -0.342  -0.336  -0.329  -0.319  -0.307  -0.291  -0.269  -0.239  -0.200  -0.147  -0.077   0.011   0.122   0.255   0.411   0.587   0.780   0.987   1.207   1.437   1.677   1.924   2.178   2.434   2.692   2.948   3.199   3.445   3.682   3.906   4.114   4.303   4.470   4.616   4.736   4.832
   5.000  -0.319  -0.315  -0.309  -0.303  -0.294  -0.283  -0.268  -0.248  -0.220  -0.182  -0.131  -0.063   0.024   0.133   0.264   0.418   0.593   0.785   0.991   1.209   1.438   1.677   1.923   2.174   2.429   2.685   2.939   3.190   3.435   3.672   3.896   4.101   4.286   4.449   4.589   4.703   4.793
   5.025  -0.283  -0.279  -0.274  -0.268  -0.261  -0.251  -0.237  -0.218  -0.192  -0.156  -0.107  -0.042   0.042   0.148   0.276   0.427   0.599   0.789   0.995   1.212   1.441   1.679   1.924   2.174   2.427   2.681   2.934   3.184   3.428   3.663   3.884   4.085   4.266   4.423   4.557   4.665   4.749
   5.050  -0.244  -0.239  -0.234  -0.228  -0.220  -0.211  -0.197  -0.179  -0.155  -0.120  -0.074  -0.012   0.068   0.170   0.294   0.442   0.610   0.797   1.001   1.217   1.445   1.683   1.927   2.176   2.427   2.680   2.931   3.179   3.420   3.652   3.869   4.066   4.240   4.391   4.519   4.622   4.701
   5.075  -0.204  -0.197  -0.189  -0.181  -0.173  -0.162  -0.148  -0.131  -0.106  -0.074  -0.029   0.030   0.106   0.203   0.322   0.463   0.626   0.810   1.010   1.225   1.452   1.688   1.931   2.178   2.428   2.679   2.928   3.173   3.410   3.637   3.849   4.039   4.207   4.352   4.473   4.571   4.646
   5.100  -0.168  -0.157  -0.146  -0.135  -0.124  -0.112  -0.096  -0.078  -0.053  -0.020   0.024   0.081   0.154   0.246   0.358   0.493   0.650   0.828   1.025   1.237   1.461   1.695   1.936   2.182   2.429   2.678   2.924   3.165   3.397   3.618   3.822   4.005   4.166   4.304   4.420   4.514   4.587
   5.125  -0.140  -0.126  -0.111  -0.096  -0.081  -0.064  -0.045  -0.023   0.005   0.039   0.083   0.140   0.211   0.299   0.406   0.534   0.684   0.856   1.047   1.254   1.475   1.706   1.944   2.186   2.431   2.676   2.918   3.153   3.379   3.592   3.788   3.962   4.116   4.248   4.359   4.451   4.523
   5.150  -0.124  -0.105  -0.086  -0.066  -0.046  -0.024   0.000   0.027   0.058   0.097   0.143   0.201   0.271   0.357   0.460   0.583   0.726   0.891   1.075   1.277   1.493   1.719   1.953   2.192   2.433   2.674   2.910   3.138   3.356   3.559   3.745   3.911   4.058   4.185   4.292   4.383   4.455
   5.175  -0.122  -0.099  -0.075  -0.051  -0.025   0.002   0.032   0.065   0.103   0.146   0.198   0.259   0.332   0.418   0.520   0.638   0.776   0.934   1.110   1.306   1.515   1.736   1.965   2.200   2.435   2.670   2.898   3.118   3.326   3.518   3.695   3.852   3.993   4.115   4.221   4.311   4.385
   5.200  -0.133  -0.106  -0.078  -0.049  -0.018   0.015   0.051   0.090   0.134   0.185   0.243   0.310   0.387   0.475   0.577   0.694   0.826   0.978   1.147   1.336   1.539   1.754   1.978   2.206   2.436   2.663   2.883   3.092   3.290   3.472   3.638   3.788   3.922   4.041   4.146   4.236   4.313
